,Class,Post_NM,ADDR,ADDR_Road,경도,위도
160,서울지방우정청,서울상록회관우체국,서울특별시 강남구 역삼1동 701 공무원연금관리공단 1층,서울특별시 강남구 언주로 508,127.0429336,37.5039782
161,서울지방우정청,서울개포1동우체국,서울특별시 강남구 개포1동 167-11,서울특별시 강남구 선릉로 36,127.0605213,37.4830092
162,서울지방우정청,서울역삼2동우체국,서울특별시 강남구 역삼2동 732-24 삼우빌딩 1층,서울특별시 강남구 역삼로 239,127.0425237,37.4977054
163,서울지방우정청,서울삼성동우체국,서울특별시 강남구 삼성동 112-22,서울특별시 강남구 선릉로 572,127.0444252,37.5095492
164,서울지방우정청,서울은마아파트우체국,서울특별시 강남구 대치2동 316,서울특별시 강남구 삼성로 212,127.0650701,37.4977415
165,서울지방우정청,서울현대아파트우체국,서울특별시 강남구 압구정동 369,서울특별시 강남구 압구정로29길 71,127.027503,37.5331502
166,서울지방우정청,서울일원동우체국,서울특별시 강남구 일원동 712-1,서울특별시 강남구 양재대로55길 20,127.0878227,37.4922045
167,서울지방우정청,서울일원본동우체국,서울특별시 강남구 일원본동 735-4,서울특별시 강남구 광평로20길 8,127.0866068,37.4830887
168,서울지방우정청,서울수서동우체국,서울특별시 강남구 수서동 718-3,서울특별시 강남구 광평로 303,127.1050561,37.4887135
169,서울지방우정청,서울영동시장우편취급국,"서울특별시 강남구 논현동 141-17, 2층",서울특별시 강남구 학동로4길 8,127.0228883,37.5109284
170,서울지방우정청,서울논현거평우편취급국,서울특별시 강남구 논현1동 203-1 지하1층,서울특별시 강남구 봉은사로 129,127.028339,37.5059195
171,서울지방우정청,서울논현2동우편취급국,서울특별시 강남구 논현동 96-5,서울특별시 강남구 언주로148길 31-1,127.0370258,37.5212942
172,서울지방우정청,서울역삼한라우편취급국,서울특별시 강남구 역삼동 667-4,서울특별시 강남구 봉은사로30길 42,127.0359012,37.5046819
173,서울지방우정청,서울역삼성보우편취급국,서울특별시 강남구 역삼동 696-40 삼능빌딩 2층,서울특별시 강남구 선릉로 519,127.0480302,37.5058735
174,서울지방우정청,서울역삼우성우편취급국,서울특별시 강남구 역삼동 826-37,서울특별시 강남구 테헤란로4길 46,127.0304041,37.4955423
175,서울지방우정청,서울삼성1동우편취급국,서울특별시 강남구 삼성동 166-8 새서울상가 203호,서울특별시 강남구 영동대로96길 37,127.0655351,37.5116711
176,서울지방우정청,서울삼성2동우편취급국,서울특별시 강남구 삼성2동 120-1,서울특별시 강남구 삼성로107길 5,127.0534723,37.5114517
177,서울지방우정청,서울AID우편취급국,서울특별시 강남구 삼성2동 21,서울특별시 강남구 삼성로 635,127.0510481,37.5165525
178,서울지방우정청,서울해청아파트우편취급국,서울특별시 강남구 삼성동 9-21,서울특별시 강남구 선릉로 646,127.0427068,37.5142024
179,서울지방우정청,서울청담우편취급국,서울특별시 강남구 청담동 134-20 삼익상가 3층,서울특별시 강남구 학동로101길 26,127.0577062,37.5224875
180,서울지방우정청,서울청담청하우편취급국,서울특별시 강남구 청담동 120-3 대신빌딩 207호,서울특별시 강남구 도산대로 507,127.0485533,37.5247587
181,서울지방우정청,서울미성우편취급국,서울특별시 강남구 신사동 549-1 타워상가 110호,서울특별시 강남구 압구정로 134,127.023528,37.5243554
182,서울지방우정청,서울압구정우편취급국,서울특별시 강남구 신사동 660-7 동도상가 2층,서울특별시 강남구 압구정로 332,127.0378507,37.5282481
183,서울지방우정청,서울신사현대우편취급국,서울특별시 강남구 신사동 502-12 영일빌딩 206호,서울특별시 강남구 강남대로 620,127.0197123,37.5171485
184,서울지방우정청,서울개포현대우편취급국,서울특별시 강남구 개포4동 1247-4,서울특별시 강남구 개포로17길 6,127.0465292,37.4789846
185,서울지방우정청,서울도곡서린우편취급국,서울특별시 강남구 도곡동 543-7 아이파트상가 106,서울특별시 강남구 도곡로28길 8,127.043449,37.4923731
186,서울지방우정청,서울도곡한신우편취급국,서울특별시 강남구 도곡2동 417-1,서울특별시 강남구 논현로38길 38-4,127.0448187,37.4853309
187,서울지방우정청,서울대치우성우편취급국,서울특별시 강남구 대치동 626 청실상가 2층,서울특별시 강남구 남부순환로 2917,127.059201,37.4931523
188,서울지방우정청,서울대치4동우편취급국,서울특별시 강남구 대치동 938-16,서울특별시 강남구 도곡로 413,127.0557518,37.4975765
189,서울지방우정청,서울대치동아우편취급국,서울특별시 강남구 대치동 901-12,서울특별시 강남구 역삼로71길 12,127.0545839,37.5026688
190,서울지방우정청,군인공제회우편취급국,서울특별시 강남구 도곡2동 467-12,서울특별시 강남구 남부순환로 2806,127.0529204,37.4891028
191,서울지방우정청,서울성북우체국,서울특별시 성북구 하월곡동 88-3,서울특별시 성북구 동소문로 310,127.0294028,37.6072897
192,서울지방우정청,서울돈암동우체국,"서울특별시 성북구 삼선동4가 352-1, 2층",서울특별시 성북구 보문로 178,127.0157115,37.5902029
193,서울지방우정청,서울석관동우체국,서울특별시 성북구 장위동 65-176,서울특별시 성북구 화랑로 203,127.0524358,37.6087723
194,서울지방우정청,서울정릉우체국,"서울특별시 성북구 정릉동 414-3, 외 1필지",서울특별시 성북구 보국문로 12,127.0115103,37.6056801
195,서울지방우정청,서울종암동우체국,서울특별시 성북구 종암동 10-303,서울특별시 성북구 종암로 64,127.0358576,37.5960382
